year,state_fips,state_name,state_abbr,population
1900,01,Alabama,AL,1830000
1901,01,Alabama,AL,1907000
1902,01,Alabama,AL,1935000
1903,01,Alabama,AL,1957000
1904,01,Alabama,AL,1978000
1905,01,Alabama,AL,2012000
1906,01,Alabama,AL,2045000
1907,01,Alabama,AL,2058000
1908,01,Alabama,AL,2070000
1909,01,Alabama,AL,2108000
1910,01,Alabama,AL,2150000
1911,01,Alabama,AL,2185000
1912,01,Alabama,AL,2217000
1913,01,Alabama,AL,2279000
1914,01,Alabama,AL,2336000
1915,01,Alabama,AL,2345000
1916,01,Alabama,AL,2359000
1917,01,Alabama,AL,2361000
1918,01,Alabama,AL,2343000
1919,01,Alabama,AL,2337000
1920,01,Alabama,AL,2359000
1921,01,Alabama,AL,2402000
1922,01,Alabama,AL,2434000
1923,01,Alabama,AL,2464000
1924,01,Alabama,AL,2501000
1925,01,Alabama,AL,2534000
1926,01,Alabama,AL,2567000
1927,01,Alabama,AL,2609000
1928,01,Alabama,AL,2640000
1929,01,Alabama,AL,2644000
1930,01,Alabama,AL,2647000
1931,01,Alabama,AL,2649000
1932,01,Alabama,AL,2653000
1933,01,Alabama,AL,2661000
1934,01,Alabama,AL,2685000
1935,01,Alabama,AL,2719000
1936,01,Alabama,AL,2743000
1937,01,Alabama,AL,2762000
1938,01,Alabama,AL,2787000
1939,01,Alabama,AL,2814000
1940,01,Alabama,AL,2845000
1941,01,Alabama,AL,2902000
1942,01,Alabama,AL,2941000
1943,01,Alabama,AL,2902000
1944,01,Alabama,AL,2802000
1945,01,Alabama,AL,2775000
1946,01,Alabama,AL,2911000
1947,01,Alabama,AL,2942000
1948,01,Alabama,AL,2969000
1949,01,Alabama,AL,3000000
1950,01,Alabama,AL,3058000
1951,01,Alabama,AL,3059000
1952,01,Alabama,AL,3068000
1953,01,Alabama,AL,3053000
1954,01,Alabama,AL,3014000
1955,01,Alabama,AL,3050000
1956,01,Alabama,AL,3071000
1957,01,Alabama,AL,3109000
1958,01,Alabama,AL,3163000
1959,01,Alabama,AL,3204000
1960,01,Alabama,AL,3274000
1961,01,Alabama,AL,3316000
1962,01,Alabama,AL,3323000
1963,01,Alabama,AL,3358000
1964,01,Alabama,AL,3395000
1965,01,Alabama,AL,3443000
1966,01,Alabama,AL,3464000
1967,01,Alabama,AL,3458000
1968,01,Alabama,AL,3446000
1969,01,Alabama,AL,3440000
1970,01,Alabama,AL,3454557
1971,01,Alabama,AL,3497349
